value	lower	upper	time
136675	48140.1	502330	444889.779559118
136675	48140.1	502330	445891.783567134
136675	48140.1	502330	446893.78757515
136675	48140.1	502330	447895.791583166
136675	48140.1	502330	448897.795591182
136675	48140.1	502330	449899.799599198
136675	48140.1	502330	450901.803607214
136675	48140.1	502330	451903.807615231
136675	48140.1	502330	452905.811623247
136675	48140.1	502330	453907.815631263
136675	48140.1	502330	454909.819639279
136675	48140.1	502330	455911.823647295
136675	48140.1	502330	456913.827655311
136675	48140.1	502330	457915.831663327
136675	48140.1	502330	458917.835671343
136675	48140.1	502330	459919.839679359
136675	48140.1	502330	460921.843687375
136675	48140.1	502330	461923.847695391
136675	48140.1	502330	462925.851703407
136675	48140.1	502330	463927.855711423
136675	48140.1	502330	464929.859719439
136675	48140.1	502330	465931.863727455
136675	48140.1	502330	466933.867735471
136675	48140.1	502330	467935.871743487
136675	48140.1	502330	468937.875751503
136675	48140.1	502330	469939.879759519
136675	48140.1	502330	470941.883767535
136675	48140.1	502330	471943.887775551
136675	48140.1	502330	472945.891783567
136675	48140.1	502330	473947.895791583
136675	48140.1	502330	474949.899799599
136675	48140.1	502330	475951.903807615
136675	48140.1	502330	476953.907815631
136675	48140.1	502330	477955.911823647
136675	48140.1	502330	478957.915831663
136675	48140.1	502330	479959.919839679
136675	48140.1	502330	480961.923847695
136675	48140.1	502330	481963.927855711
136675	48140.1	502330	482965.931863727
136675	48140.1	502330	483967.935871744
136675	48140.1	502330	484969.93987976
136675	48140.1	502330	485971.943887776
136675	48140.1	502330	486973.947895792
136675	48140.1	502330	487975.951903808
136675	48140.1	502330	488977.955911824
136675	48140.1	502330	489979.95991984
136675	48140.1	502330	490981.963927856
136675	48140.1	502330	491983.967935872
136675	48140.1	502330	492985.971943888
136675	48140.1	502330	493987.975951904
136675	48140.1	502330	494989.97995992
136675	48140.1	502330	495991.983967936
136675	48140.1	502330	496993.987975952
136675	48140.1	502330	497995.991983968
136675	48140.1	502330	498997.995991984
136675	48140.1	502330	5e+05
